Date,Log_Return
1987-05-21,-0.009708814126960785
1987-05-22,0.005405418566907905
1987-05-25,0.0026917916657116514
1987-05-26,0.0016116038943412292
1987-05-27,-0.0016116038943412292
1987-05-28,0.0
1987-05-29,-0.0010758473334635532
1987-06-01,0.00376041270413241
1987-06-02,0.001607286710871847
1987-06-03,0.0037403196157232976
1987-06-04,0.0015987213636972086
1987-06-05,-0.006946327690292353
1987-06-08,0.0053476063265951446
1987-06-09,0.0015987213636972086
1987-06-10,0.0
1987-06-11,-0.005339040979420506
1987-06-12,0.005339040979420506
1987-06-16,0.006369448285479695
1987-06-17,0.006854759242461483
1987-06-18,0.0010504202646517413
1987-06-19,0.0
1987-06-22,0.0026212334798745296
1987-06-23,-0.010526412986987754
1987-06-24,-0.007968169649176904
1987-06-25,-0.0026702285558788397
1987-06-26,0.020117142159599588
1987-06-29,0.003662049606514284
1987-06-30,-0.003662049606514284
1987-07-01,-0.005254872838358793
1987-07-02,0.0141252675520116
1987-07-03,0.004147232486446217
1987-07-06,0.007730004994149553
1987-07-07,0.0010261673553118023
1987-07-08,-0.0010261673553118023
1987-07-09,0.010214593409718198
1987-07-10,0.002537428410416709
1987-07-13,0.005055622497180501
1987-07-14,0.0025182586967233966
1987-07-15,0.01992097749455457
1987-07-16,0.005899722127188145
1987-07-17,0.011211426232989652
1987-07-20,-0.0038853861409164914
1987-07-21,-0.009780029053639616
1987-07-22,-0.0009832842483490367
1987-07-23,-0.008893339247563414
1987-07-24,-0.028695651290327362
1987-07-27,-0.01440354119152465
1987-07-28,0.024566230283726398
1987-07-29,0.010060447025841412
1987-07-30,0.010950831186751664
1987-07-31,-0.008451454729432317
1987-08-03,0.04490749669041971
1987-08-04,-0.01442332696110471
1987-08-05,-0.04203338170655213
1987-08-06,-0.0025284463533590262
1987-08-07,-0.005076153031860375
1987-08-10,-0.01125907492592182
1987-08-11,0.0010288066751069636
1987-08-12,0.002567395505245429
1987-08-13,-0.005141399500418586
1987-08-14,-0.007762005335488986
1987-08-17,-0.020998146839773302
1987-08-18,-0.005319161477600254
1987-08-19,-0.013423020332140823
1987-08-20,-0.010869672236903494
1987-08-21,-0.010989121575595284
1987-08-24,-0.0348545680443908
1987-08-25,0.003996579684485635
1987-08-26,0.030857988359905164
1987-08-27,0.009895627754223923
1987-08-28,-0.0043859719432544075
1987-08-31,0.023351590530747313
1987-09-01,-0.010793412931765278
1987-09-02,-0.0016291070667917573
1987-09-03,-0.012028575865607127
1987-09-04,-0.002754063982573385
1987-09-07,-0.029669122722653096
1987-09-08,0.004535155165390936
1987-09-09,0.012366655637211732
1987-09-10,0.02210034700066643
1987-09-11,-0.006578971098042619
1987-09-14,-0.0016515280384732378
1987-09-15,0.020720479586408658
1987-09-16,0.0
1987-09-17,-0.005411268615536535
1987-09-18,-0.007078711834356266
1987-09-21,-0.0010934938213713608
1987-09-22,0.010881500187533977
1987-09-23,0.0
1987-09-24,0.010764366587158403
1987-09-25,-0.0042918520815407035
1987-09-28,0.0026845653706688566
1987-09-29,-0.008075414005545678
1987-09-30,-0.0010816658707408777
1987-10-01,0.0010816658707408777
1987-10-02,0.008075414005545678
1987-10-05,0.006946327690292353
1987-10-06,-0.00963089306096121
1987-10-07,-0.0010758473334635532
1987-10-08,0.0026874512278047824
1987-10-09,-0.0016116038943412292
1987-10-12,-0.0026917916657116514
1987-10-13,0.0
1987-10-14,0.006983643747252355
1987-10-15,0.0
1987-10-16,0.016985546365743787
1987-10-19,0.005249355886144169
1987-10-20,-0.01689586127246745
1987-10-21,0.007955491441114404
1987-10-22,0.010509818230930001
1987-10-23,-0.007871990270379658
1987-10-26,-0.012192040765361956
1987-10-27,0.0026631174194839957
1987-10-28,0.002656044058116258
1987-10-29,-0.005319161477600254
1987-10-30,0.0026631174194839957
1987-11-02,-0.009083685222406768
1987-11-03,-0.013510067685956084
1987-11-04,-0.024787829310499276
1987-11-05,-0.004471779391393316
1987-11-06,0.005586606708639419
1987-11-09,-0.025389234004819183
1987-11-10,0.014184634991956102
1987-11-11,0.002812941376614919
1987-11-12,0.002805050927608743
1987-11-13,-0.002805050927608743
1987-11-16,-0.006764400088542288
1987-11-17,-0.015963850989014094
1987-11-18,-0.012724289664373778
1987-11-19,0.017311453671279953
1987-11-20,0.006841531816716984
1987-11-23,0.016901810802602668
1987-11-24,-0.0039182809716602485
1987-11-25,-0.008448374665551484
1987-11-26,0.0028240628766194042
1987-11-27,0.0028161099996419914
1987-11-30,-0.004509590505975325
1987-12-01,-0.0028288562004776807
1987-12-02,0.0028288562004776807
1987-12-03,0.012910648037258277
1987-12-04,0.0038964702791228767
1987-12-07,-0.012297527810405828
1987-12-08,-0.01131233782872787
1987-12-09,-0.008569032725101344
1987-12-10,0.006861090379945534
1987-12-11,0.010204170174241689
1987-12-14,-0.05387923367690339
1987-12-15,-0.036367644170875124
1987-12-16,-0.016807118316381153
1987-12-17,-0.058155920157073826
1987-12-18,0.03722271049060799
1987-12-21,-0.012903404835907573
1987-12-22,0.08104121000312592
1987-12-23,0.03240342405465935
1987-12-24,-0.008733679968754515
1987-12-28,-0.005865119452398204
1987-12-29,0.022106775781029597
1987-12-30,0.026683388388402562
1987-12-31,-0.014104606181541968
1988-01-04,0.019691212890181387
1988-01-05,-0.049681926573863944
1988-01-06,0.046892524486285225
1988-01-08,-0.05867122367889799
1988-01-11,-0.013719272741358424
1988-01-12,-0.0429513871955991
1988-01-13,0.026602249194069838
1988-01-14,0.01032502339814867
1988-01-15,0.006024114603380593
1988-01-18,0.010752791776261983
